id,title,price,description,long,latitude,review_airbnb,calification_rate,created_at,verified,host_review,created_at_1,cameras_on_site,rooms
593665933614650758,habitación el Altillo,42500,"Habitación en MEDELLÍN, Colombia",-75.600784,6.228388,18,4.78,,,,02/22,False,1
942689761121551563,Hospedaje habitacion sencilla apto en Medellin,39199,"Habitación en MEDELLÍN, Colombia",-75.60948789999999,6.2857093,9,5.0,,,,08/23,False,1
647883068514827916,Habitación privada bañocompartido Hostel Laureles8,40300,"Habitación en MEDELLÍN, Colombia",-75.59625,6.23677,31,4.58,,,,02/19,False,1
1015450681323342487,Habitación envigado muy Cómoda,41143,"Habitación en Envigado, Colombia",-75.58433,6.15914,4,2.75,,,,09/23,False,1
1030531185601253466,Habitación en laureles estadio 1,57429,"Habitación en MEDELLÍN, Colombia",-75.588054433465,6.245700046845322,0,,,,,04/23,False,1
1026970990435129773,Habitación 3: cerca al Poblado (baño compartido),43542,"Habitación en MEDELLÍN, Colombia",-75.59195578804704,6.196224440101012,2,,,,,12/23,False,1
989680579421065719,Agradable habitación 401 cerca al metro,40000,"Habitación en MEDELLÍN, Colombia",-75.6003301147134,6.261367274192756,13,5.0,,,,02/23,False,1
1033512441278518015,Habitación laureles estadio 6,45000,"Habitación en MEDELLÍN, Colombia",-75.58895088239998,6.244920454067871,1,,,,,04/23,False,1
22955927,el aparta-estudio de robledo,39000,"Loft entero en MEDELLÍN, Colombia",-75.59193,6.28494,60,4.87,01/2018,,63,02/18,False,1
946501219503918280,Habitación privada 04 CasaHostal,46101,"Habitación privada en alojamiento en MEDELLÍN, Colombia",-75.58322078374643,6.220359468916882,26,4.69,07/2023,True,69,08/23,False,1
1032753365978142305,Casa MoraZ Rojo La Candelaria,48000,"Habitación en MEDELLÍN, Colombia",-75.56243435767213,6.242282725990368,6,5.0,,,,02/23,False,1
989375040434561564,Habitación para mujer sola.,40956,"Habitación en MEDELLÍN, Colombia",-75.5928268900948,6.223947267037479,2,,,,,10/23,False,1
37367557,Casa Finca en la Ciudad Hab. Privada - MEDELLÍN,39000,"Habitación en Envigado, Colombia",-75.57716,6.17314,82,4.84,,,,02/18,False,1
971180340400374337,,,,,,,,,,,,,
833377996973072860,Habitación privada #2,43542,"Habitación en MEDELLÍN, Colombia",-75.5603,6.25713,31,4.81,,,,02/22,False,1
1037074197223363131,Estadio la 70 Macarena San Juan,65768,"Habitación en MEDELLÍN, Colombia",-75.5846305,6.2467631,3,4.67,,,,02/20,False,1
620235342352237420,"Habitación #1 en Envigado, Antioquia.",50286,"Habitación en Envigado, Colombia",-75.579613,6.178042,13,4.85,,,,02/21,False,1
1053055849720099694,Priv kitchen room Exito Laureles,36000,"Habitación en MEDELLÍN, Colombia",-75.6024899120104,6.2513282352560875,1,,,,,12/23,False,1
21657022,Casa finca en la ciudad Habitación doble- MEDELLÍN,39857,"Habitación en Envigado, Colombia",-75.57634,6.17437,68,4.82,,,,02/18,False,1
863304504038199414,Habitación Relax Hippie Laureles,40000,"Habitación en MEDELLÍN, Colombia",-75.58859,6.2471,9,4.56,,,,04/23,True,1
982866864420848237,Habitación en Loma de los Bernal - fast Wi Fi,45000,"Habitación en MEDELLÍN, Colombia",-75.60762814095517,6.218131972202943,2,,,,,02/19,False,1
1034100130318853236,Casa MoraZ Gris La Candelaria,48000,"Habitación en MEDELLÍN, Colombia",-75.5624129,6.2424747,2,,,,,02/23,False,1
1037077768795388664,Laureles San Joaquin estadio,59900,"Habitación en MEDELLÍN, Colombia",-75.58376917811266,6.247230981244489,1,,,,,02/20,False,1
46800640,"Habitación #4 en Envigado, Antioquia.",50000,"Habitación en Envigado, Colombia",-75.57858,6.17835,25,4.76,,,,02/21,False,1
932000162393313979,Habitación privada 01 CasaHostal,46424,"Habitación en MEDELLÍN, Colombia",-75.5833,6.2226,17,4.65,,,,08/23,False,1
653502114216011390,Habitación 5 Belén cerca de Metroplús,37999,"Habitación en MEDELLÍN, Colombia",-75.60314726358625,6.22604413655363,12,4.58,,,,02/22,False,1
555308173448949984,"Habitación sencilla, económica cerca al Poblado",44357,"Habitación en MEDELLÍN, Colombia",-75.58255,6.20373,28,4.79,,,,02/22,False,1
860186001252364494,Habitación privada compartida piso 2,42537,"Habitación en Sabaneta, Colombia",-75.6093,6.1431,8,5.0,,,,02/20,False,1
844962769628793284,Habitación Privada - Casa Itagüí,39584,"Habitación en Itagüí, Colombia",-75.594915,6.1918976,14,4.93,,,,02/23,False,1
45116313,"Lavandería Gratis, Muy Limpio, Ubicación Perfecta",258000,"Habitación en Envigado., Colombia",-75.58814,6.17643,10,4.9,,,,02/20,False,1
1044768990382929157,Comodo Apartamento en Medellin,43542,"Vivienda rentada entero en MEDELLÍN, Colombia",-75.565149,6.302793,1,,06/2022,True,27,02/23,False,2
948381807199236510,Habitación cercana al Barrio Poblado y el Metro.,52857,"Habitación en MEDELLÍN, Colombia",-75.58341145940265,6.2148228661775775,3,4.33,,,,09/23,False,1
1022120719042206711,Habitación agradable,32000,"Habitación en MEDELLÍN, Colombia",-75.57112606308633,6.300859691272632,1,,,,,02/20,False,1
939354104523620396,Alcoba cerca a lo que necesitas.,41094,"Habitación en MEDELLÍN, Colombia",-75.55767446441801,6.261177429679289,3,5.0,,,,08/23,True,1
1049937227401873100,Habitación con baño privado junto a Mayorca,39000,Habitación en Colombia,-75.60239,6.15315,0,,,,,02/17,False,1
17582947,Perfecta ubicación cerca a Metro y jardín Botánico,38286,"Habitación en MEDELLÍN, Colombia",-75.56496,6.26455,75,4.81,,,,02/16,False,1
892156079859572277,Habitación para 1 persona al frente de la UdeA,44800,"Habitación en MEDELLÍN, Colombia",-75.56966,6.26493,10,5.0,,,,06/23,False,1
963888266031760967,Hermosa habitación con excelente ubicación,45000,"Habitación en Envigado, Colombia",-75.57891096452528,6.1670431636554905,19,4.68,,,,10/23,False,1
983330959938707086,MoraZ Amarillo La Candelaria,48000,"Habitación en MEDELLÍN, Colombia",-75.56254164603273,6.242453369557985,25,4.68,,,,02/23,False,1
46775700,"Habitación #2 en Envigado, Antioquia.",50000,"Habitación en Envigado, Colombia",-75.579613,6.178042,18,4.78,,,,02/21,False,1
1036314420367319260,Estadio laureles,56900,"Habitación en MEDELLÍN, Colombia",-75.5846305,6.2467631,1,,,,,02/20,False,1
48300568,Habitación privada y acogedora Poblado Via Provenza la Florida,41286,"Habitación en MEDELLÍN, Colombia",-75.5634,6.20538,108,4.54,,,,02/19,False,1
13977594,Habitación Manila Poblado (2): oferta especial para el mes completo,59376,"Habitación en MEDELLÍN, Colombia",-75.57301,6.21705,43,4.88,,,,02/16,False,1
1029673689679781012,campestre San joaquin,38400,"Habitación en MEDELLÍN, Colombia",-75.58784872257374,6.243702382930965,0,,,,,02/22,True,1
951361412487581335,Alcoba #2 Individual,42250,"Habitación en MEDELLÍN, Colombia",-75.5576691,6.2611561,1,,,,,08/23,False,1
