id,title,price,description,long,latitude,review_airbnb,calification_rate,created_at,verified,host_review,created_at_1,cameras_on_site,rooms
1011761919469637868,Hermoso apartamento las  palmas,640000,"Vivienda rentada entero en Medellín, Colombia",-75.55798253,6.215317472,0,,08/2023,TRUE,,09/23,TRUE,2
957959124861517302,PVT APT  3BD  - Lleras Park,791679,"Vivienda rentada entero en Medellín, Colombia",-75.5699178,6.2103367,0,,08/2023,TRUE,,09/23,TRUE,2
705259118691125299,Amplia y acogedora casa de habitación privada en Medellín,676886,"Habitación en Medellín, Colombia",-75.56689,6.2072,0,,,,,02/22,FALSE,1
7840662,POBLADO NEAR PARQUE LLERAS APARTMENT,712512,"Vivienda rentada entero en Medellín, Colombia",-75.56482,6.20724,65,4.86,08/2015,,65,02/16,FALSE,3
705231926741978480,Dormitorio privado completamente amueblado,676886,"Habitación en Medellín, Colombia",-75.5659536,6.2080365,0,,,,,02/22,FALSE,1
705238414467597788,Increíble dormitorio privado con una ubicación fantástica,676886,"Habitación en Medellín, Colombia",-75.5648,6.20754,0,,,,,02/22,FALSE,1
983635104701522681,Penthouse Luxury Duplex Con Jacuzzi,502571,"Loft entero en Envigado, Colombia",-75.56714114,6.155939759,15,4.87,12/2020,TRUE,77,02/21,FALSE,2
940756738873697839,Casa bohemia con jacuzzi y azotea,751143,"Vivienda rentada entero en Medellín, Colombia",-75.5963422,6.2494708,39,4.97,07/2023,TRUE,39,08/23,FALSE,3
1044163892876461923,Apartamento Morph 802-Serene en Poblado con balcón privado,709701,"Vivienda rentada entero en Medellín, Colombia",-75.5671467,6.2017048,1,,01/2017,TRUE,3674,02/19,FALSE,2
1015401669235102241,Poblado Ultra Luxury 2Br+Jacuzzi privado con vistas,788869,"Vivienda rentada entero en Medellín, Colombia",-75.55465,6.20633,12,4.92,10/2018,TRUE,1019,02/21,FALSE,2
1034952667393144895,"|EP| Impresionante apartamento de Provenza con aire acondicionado, diseño elegante",1192309,"Vivienda rentada entero en Medellín, Colombia",-75.56748,6.21076,9,5,08/2022,TRUE,320,02/23,FALSE,2
684728262855885845,Provenza Forever W&L Edificio 93,846833,"Vivienda rentada entero en Medellín, Colombia",-75.5618821,6.2026787,66,4.85,06/2021,TRUE,1167,02/21,FALSE,3
804317355815939101,(501). Apartamento de lujo de dos habitaciones. En Provenza Mde.,761160,"Vivienda rentada entero en Medellín, Colombia",-75.56574,6.21152,17,4.94,10/2022,TRUE,173,02/23,TRUE,2
52367511,Paz 302 Tropic,737410,"Apartamento con servicios incluidos entero en Medellín, Colombia",-75.56641,6.21066,115,4.9,01/2019,TRUE,2754,02/19,TRUE,2
