id,title,price,description,long,latitude,review_airbnb,calification_rate,created_at,verified,host_review,created_at_1,cameras_on_site,rooms,,
24475554,Apartamento de estilo industrial cerca de Provenza con balcón,435829,"Apartamento con servicios incluidos entero en Medellín, Colombia",-75.56053,6.2113,31,4.9,ene-18,TRUE,1328,feb-18,TRUE,1,,
24475480,Apartamento boutique cerca de Provenza con balcón y aire acondicionado,435829,"Apartamento con servicios incluidos entero en Medellín, Colombia",-75.56053,6.2113,35,5,ene-18,TRUE,1328,feb-18,TRUE,1,,
24475115,Acogedor apartamento cerca de Provenza con piscina y aire acondicionado en el techo.,435829,"Apartamento con servicios incluidos entero en Medellín, Colombia",-75.56053,6.2113,31,5,ene-18,TRUE,1328,feb-18,TRUE,1,,
33407483,City View Apt 2BR-14th Floor 2AC by HOUSY HOST,444141,"Apartamento con servicios incluidos entero en Medellín, Colombia",-75.5652,6.19051,99,4.85,oct-15,TRUE,7165,feb-16,TRUE,2,,
36699763,OviedoMall/Desayuno/Impecable/LimpiezaDiaria,427037,"Vivienda rentada entero en Medellín, Colombia",-75.575607,6.200277,27,4.7,jun-18,TRUE,982,feb-18,TRUE,1,,
43205694,"Encantadora y lujosa suite con vista panorámica, aire acondicionado 2",404879,"Vivienda rentada entero en Medellín, Colombia",-75.56414,6.18916,84,4.92,dic-19,TRUE,529,feb-20,TRUE,2,,
46258737,F- Apartamento LuxuRy en Medellín -WalkableArea-10Pobla,350835,"Condo entero en Envigado, Colombia",-75.5923,6.17512,27,4.7,ene-19,TRUE,197,feb-19,FALSE,2,,
958630574223511367,Apartment in envigado - 15 min from parque Lleras.,320994,"Condo entero en Envigado, Colombia",-75.5806345,6.18111526,6,4.83,feb-18,TRUE,589,feb-18,TRUE,2,,
971629784939908909,"Ubicación perfecta @Poblado, 2BR, A/C, Fast WiFi",336604,"Vivienda rentada entero en Medellín, Colombia",-75.5636381,6.2109661,24,5,sep-16,TRUE,88,abr-23,FALSE,2,,
1041213174341755701,Amplio y céntrico apartamento,365714,"Vivienda rentada entero en Medellín, Colombia",-75.562066,6.209668,3,5,feb-17,TRUE,19,ago-23,FALSE,2,,
1029783856609627505,Apartamento F-LuxuRy/Envigado a 10 minutos de Poblado,362661,"Alojamiento entero en Envigado, Colombia",-75.5914023,6.174159,1,,ene-19,TRUE,2,sep-23,TRUE,2,,
40091420,"Loft industrial de moda, aire acondicionado , jacuzzi en la azotea",410491,"Vivienda rentada entero en Medellín, Colombia",-75.58869,6.24503,67,4.85,jun-19,TRUE,1936,feb-19,TRUE,1,,
826906234827349479,,,,,,,,,,,,,,,
52123955,La mejor ubicación en Provenza Apt 3Bed/2 baños con aire acondicionado,483364,"Vivienda rentada entero en Medellín, Colombia",-75.565521,6.206769,98,4.56,mar-19,TRUE,695,feb-20,FALSE,3,,
24631840,"Apartamento con clase cerca de Provenza, lejos del ruido.",435829,"Habitación en Medellín, Colombia",-75.56053,6.2113,75,4.96,ene-18,TRUE,1328,feb-18,TRUE,1,,
51046725,"¡Diseño genial, Internet rápido, cerca de Provenza!",362661,"Condo entero en Medellín, Colombia",-75.564835,6.210719,36,4.92,nov-16,TRUE,36,feb-22,FALSE,2,,
1031262402440288577,El corazón del Poblado: Manila Luxe Comfort - SL 201,386313,"Vivienda rentada entero en Medellín, Colombia",-75.5731871,6.2139485,3,5,oct-21,TRUE,240,feb-23,FALSE,2,,
26453835,Apartamento moderno cerca de Provenza con piscina en la azotea y aire acondicionado,435829,"Apartamento con servicios incluidos entero en Medellín, Colombia",-75.560471,6.21131,11,4.91,ene-18,TRUE,1328,feb-18,TRUE,1,,
